feature_index,SPI-1,SPI-2,ks_statistic,n_Kuramoto,n_CML
0,anm,bary-sq_euclidean_max,0.21075350639477025,64,64
1,anm,bary-sq_euclidean_mean,0.2163896350748714,64,64
2,anm,bary_euclidean_max,0.27702389375912256,64,64
3,anm,bary_euclidean_mean,0.140625,64,64
4,anm,cce_gaussian,0.578125,64,64
5,anm,cce_kernel_W-0.5,0.04469131244486679,64,64
6,anm,cce_kozachenko,0.1366082481267923,64,64
7,anm,cds,0.24882882756727842,64,64
8,anm,ce_gaussian,0.14359283223399327,64,64
9,anm,ce_kernel_W-0.5,0.10103806128882109,64,64
10,anm,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.2689630839647602,64,64
11,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.1653736584118995,64,64
12,anm,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.21988206472696448,64,64
13,anm,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.4157209683003965,64,64
14,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.22694251964948448,64,64
15,anm,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.37068513057783226,64,64
16,anm,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.04829813804593708,64,64
17,anm,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.049954188881867534,64,64
18,anm,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.05951870310448237,64,64
19,anm,coint_johansen_max_eig_stat_order-0_ardiff-1,0.37812757276210684,64,64
20,anm,coint_johansen_max_eig_stat_order-0_ardiff-10,0.07253135093403884,64,64
21,anm,coint_johansen_max_eig_stat_order-1_ardiff-1,0.3587903606984878,64,64
22,anm,coint_johansen_max_eig_stat_order-1_ardiff-10,0.04823449370986749,64,64
23,anm,coint_johansen_trace_stat_order-0_ardiff-1,0.3159548589991453,64,64
24,anm,coint_johansen_trace_stat_order-0_ardiff-10,0.11957807860350506,64,64
25,anm,coint_johansen_trace_stat_order-1_ardiff-1,0.31741396365513996,64,64
26,anm,coint_johansen_trace_stat_order-1_ardiff-10,0.0956783347751401,64,64
27,anm,cov-sq_EmpiricalCovariance,0.5122533942927542,64,64
28,anm,cov-sq_GraphicalLasso,0.49547895430784034,64,64
29,anm,cov-sq_LedoitWolf,0.4447655842510618,64,64
30,anm,cov-sq_OAS,0.4447655842510618,64,64
31,anm,cov-sq_ShrunkCovariance,0.5122533942927542,64,64
32,anm,cov_EmpiricalCovariance,0.28323299540448327,64,64
33,anm,cov_GraphicalLasso,0.27344442942584146,64,64
34,anm,cov_GraphicalLassoCV,0.30189376294955317,64,64
35,anm,cov_LedoitWolf,0.28149468276264994,64,64
36,anm,cov_OAS,0.28149468276264994,64,64
37,anm,cov_ShrunkCovariance,0.28323299540448327,64,64
38,anm,dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.34074082603966344,64,64
39,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,0.16862710859718724,64,64
40,anm,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.3802929594912752,64,64
41,anm,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.2336885031812493,64,64
42,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.15537057030109633,64,64
43,anm,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.26965293027330384,64,64
44,anm,ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.216899836073231,64,64
45,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.04992443717356421,64,64
46,anm,ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.2839747251301698,64,64
47,anm,ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.09069067099418965,64,64
48,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.0420492855449891,64,64
49,anm,ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.13562922394047597,64,64
50,anm,di_gaussian,1.0,64,64
51,anm,di_kernel_W-0.5,0.30241870976665464,64,64
